Автор отзыва;Рейтинг (звёзды);Заголовок;Текст отзыва;Дата публикации;Версия приложения;Отредактировано
Catlin19;1 ⭐;Disappointed;I asked for a reminder before the free trial was up, so that I could do just that, try the app, and decide if it was worth the subscription. It NEVER sent a reminder, and instead pulled the money a day early. The other issue, and why I wasn’t going to spring for the subscription, is because it decided in its own, why my difficulty level would be, and there is no way to change it. I’m not learning ANYTHING. I’m just repeating sentences, without having a single clue of what I’m saying. I wanted to...;2026-06-13;7.126.1;Нет
muddavi;4 ⭐;Lackluster Issue Reporting;"I love this app. It's been great with refreshing Spanish for me.

However, their issue reporting has issues. If you need to report something, your only option is generic responses. You are not allowed to give more detailed info.

For example, some lessons will provide pronunciations for states in the US that have never been provided before. Or for a person's name that's never been used before.

Why do I get counted incorrect for proper names that the app has never before shown the pronunciation?...";2026-06-13;7.126.1;Нет
KIT KAT !!!;2 ⭐;Energy;"You should be able to have UNLIMITED energy even if you aren’t a premium member, the point of this app,is to learn right? But you get to do like 2 rounds then you run out of energy! You just shouldn’t have the energy AT ALL!!!

                       Sincerely, Katie Costello...";2026-06-13;7.126.1;Нет
My review on journal app;4 ⭐;Pretty good 😊;I love this app.Along with languages it also teaches you piano chess and even math. There are fun challenges and activities to do.Duolingo will help you with whatever your learning .Buut the super Duolingo version costs an arm and a leg 😬😅.But in otherwards I think it’s very interactive and useful. 💚🦉...;2026-06-13;7.126.1;Нет
Shark Ck;5 ⭐;Good game;The game is good...;2026-06-13;7.126.1;Нет
Rich Pickens;3 ⭐;Supplemental at best;"Spanish (1000+ days) Duolingo prioritizes gamification over learning and retention.   It’s fun and it can help with creating a routine of language learning, BUT it will NOT make you fluent and is not a substitute for proper lessons or immersion.  
Also, the AI functionality needs A LOT of improvement.  It’s so bad that it ruins the enjoyment at times....";2026-06-13;7.126.1;Нет
🇮🇳karina;3 ⭐;add Bengali;I want to practice Bengali but uh.. yeah it’s not there also I feel like this is good if u want to play chess matches but that’s lowkey it...;2026-06-13;7.126.1;Нет
myaqnfndbdmdbd;1 ⭐;lying;lying about it being free , y’all annoying asf i hate yall...;2026-06-13;7.126.1;Нет
Reptile lover (‘-‘);4 ⭐;fix this;I love this app but it keeps resetting my streak every month and I come back every day...;2026-06-13;7.126.1;Нет
Meme oooommm;5 ⭐;Super Duper good;This app is so good. It can teach you everything. You can also get a free trail for zero dollars literally zero dollars. I’m just joking, but it’s kind of like a scam because last time when I tried to press on getting the free trail, it literally made it into so much money and I have to subscribe and like yeah but you can do it for free and it’s so good and then when you get back to level two, you might be able to get a free family chair that like you don’t even need to pay for it’s just a previ...;2026-06-13;7.126.1;Нет
Gatorad☑️;4 ⭐;67;67...;2026-06-13;7.126.1;Нет
Mirelacw;4 ⭐;Almost perfect!;"Okay, so I love Duo and all… like, you can learn five languages at once (what I'm doing)… but also, the ads are getting really annoying. Like, do I have to watch something about Super or Max every time I finish ANYTHING? And also, he energy system is the worst. I want to practice for more than five minutes, developers! 
All in all, I would give it a five-star if the energy system was better. That’s really the thing that annoys me the most. Keep up he good work (just maybe work on the energy syst...";2026-06-13;7.126.1;Нет
Chris#8ntlbaseball;4 ⭐;Good;Nice...;2026-06-13;7.126.1;Нет
nash'e;5 ⭐;Cheese;"I like the cheese options it helps a looooooooot

🥰🫪🫪🫪...";2026-06-13;7.126.1;Нет
I test games l;5 ⭐;This is an amazing learning app!!!;It is so easy to learn using this app! It takes you step by step to learn different languages. I would recommend this to anybody that wants to learn a language....;2026-06-13;7.126.1;Нет
davidrivera2014;5 ⭐;the cow;the cow...;2026-06-13;7.126.1;Нет
Buggy ygv;1 ⭐;No;It said how to suck dick...;2026-06-13;7.126.1;Нет
Yhoxanette;5 ⭐;Un muy ameno método de aprender inglés;Con Duolingo aprender inglés es MUY DIVERTIDO , I Love it...;2026-06-13;7.126.1;Нет
Danathebanana🍌;5 ⭐;The best app for kids;I am going to to be a fifth grader and I am using duo so I know what I’m going to learn in fifth grade and this app helps me my name is Danabanana416...;2026-06-13;7.126.1;Нет
Pls fix this 56r8;5 ⭐;Hii;THIS IS SOOOO GOOD DOWNLOAD IT NOW😺😺😺👍👍👍💖💖💖💖 it helped my math and launge for summer breaks and school...;2026-06-13;7.126.1;Нет
CatraValentina;5 ⭐;Duo helps!;I am learning really fast in such little time learning a language that should be the hardest to learn in my culture...;2026-06-13;7.126.1;Нет
nice230183;1 ⭐;Реклама надоела;Как вы надоели со этой платной подпиской, пользоваться приложением уже невозможно, после каждого урок реклама подписки, из России пользователи не могут оплатить вашу дурацкую подписку!!!...;2026-06-13;7.126.1;Нет
Aliens-r_cO0l;4 ⭐;Good with languages, BUT CHESS??;"I’ve had duo for a long time now. After only a month of learning, I had learned so much about German. BUt the only reason I’m rating this 4 stars is because the global chess matches with people is kinda weird. I’m just an eleven year old tryna do chess, and whenever I get a REAL checkmate(when the other person has nowhere to go)it’s somehow, a STALEMATE!? Could’ve had my opponent left with nothing but their king being trapped, and somehow ITS STILL STALEMATE!
LIke huh!?but anyways the language a...";2026-06-13;7.126.1;Нет
ROBIN UPSIDE DOWN;5 ⭐;Asheli;"I know so much already fun an cool I’m learning Spanish language it is so fun to learn new languages I’m learning Spanish so I can communicate with my dad’s family 
🤪😝☺️👍🦉...";2026-06-13;7.126.1;Нет
